iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,100,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,676,571,534.52","0.49","3,676,571,534.52","3,857,852.00","953.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","3,585,793,325.69","0.47","3,585,793,325.69","49,795,769.00","72.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,577,259,151.36","0.47","3,577,259,151.36","12,022,784.00","297.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,547,126,306.16","0.47","3,547,126,306.16","31,924,456.00","111.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,477,166,996.32","0.46","3,477,166,996.32","40,375,836.00","86.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,405,974,400.00","0.45","3,405,974,400.00","17,245,440.00","197.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,379,919,221.92","0.45","3,379,919,221.92","20,022,032.00","168.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","3,332,615,242.16","0.44","3,332,615,242.16","10,246,634.00","325.24","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","3,128,708,604.00","0.41","3,128,708,604.00","57,672,048.00","54.25","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","3,074,869,482.30","0.41","3,074,869,482.30","4,832,421.00","636.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","2,848,082,801.64","0.38","2,848,082,801.64","15,536,127.00","183.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,800,129,876.39","0.37","2,800,129,876.39","9,160,031.00","305.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,713,218,294.60","0.36","2,713,218,294.60","12,244,870.00","221.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,700,234,020.43","0.36","2,700,234,020.43","22,365,891.00","120.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,638,760,703.60","0.35","2,638,760,703.60","6,006,056.00","439.35","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,620,442,469.86","0.35","2,620,442,469.86","23,014,601.00","113.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,599,175,970.93","0.34","2,599,175,970.93","22,962,947.00","113.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,580,728,412.68","0.34","2,580,728,412.68","17,587,082.00","146.74","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","2,568,762,000.00","0.34","2,568,762,000.00","1,689,975.00","1,520.00","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,518,659,777.33","0.33","2,518,659,777.33","10,071,819.00","250.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,485,270,823.37","0.33","2,485,270,823.37","6,911,017.00","359.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,434,046,517.60","0.32","2,434,046,517.60","15,744,156.00","154.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2,387,866,150.86","0.32","2,387,866,150.86","4,559,694.00","523.69","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,379,805,211.20","0.31","2,379,805,211.20","6,926,092.00","343.60","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","2,330,763,116.49","0.31","2,330,763,116.49","3,489,741.00","667.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","2,272,080,751.37","0.30","2,272,080,751.37","11,687,057.00","194.41","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","2,251,908,661.64","0.30","2,251,908,661.64","26,725,714.00","84.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,246,103,282.15","0.30","2,246,103,282.15","26,787,159.00","83.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","2,239,123,217.76","0.30","2,239,123,217.76","7,976,358.00","280.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,230,983,087.30","0.29","2,230,983,087.30","14,314,938.00","155.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","2,186,871,424.92","0.29","2,186,871,424.92","21,484,148.00","101.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","2,154,089,321.04","0.28","2,154,089,321.04","13,775,592.00","156.37","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,142,886,839.00","0.28","2,142,886,839.00","91,186,674.00","23.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","2,140,708,779.36","0.28","2,140,708,779.36","414,576.00","5,163.61","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,127,992,577.12","0.28","2,127,992,577.12","54,230,188.00","39.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","2,117,930,386.88","0.28","2,117,930,386.88","3,987,368.00","531.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","2,093,263,659.45","0.28","2,093,263,659.45","1,855,977.00","1,127.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","2,060,575,329.73","0.27","2,060,575,329.73","15,959,843.00","129.11","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,998,932,985.00","0.26","1,998,932,985.00","7,213,500.00","277.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,957,178,540.20","0.26","1,957,178,540.20","8,085,844.00","242.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,929,734,881.34","0.25","1,929,734,881.34","6,327,622.00","304.97","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,893,245,939.37","0.25","1,893,245,939.37","73,126,533.00","25.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,888,961,146.67","0.25","1,888,961,146.67","8,176,967.00","231.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,882,407,738.20","0.25","1,882,407,738.20","3,586,085.00","524.92","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1,854,210,424.08","0.24","1,854,210,424.08","3,481,693.00","532.56","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,789,578,938.35","0.24","1,789,578,938.35","8,165,255.00","219.17","United States","NASDAQ","USD","1.00","USD","-"
